Unique_ID,score
bigiron_1053,39.197338859823674
bigiron_1AB878,36.78890477078225
bigiron_1T250,56.78539811454251
bigiron_AB1054,22.773989518465182
bigiron_AC0023,25.8809181819459
bigiron_AC0480,51.002144379716434
bigiron_AC6813,27.275458346930982
bigiron_AC8090,37.71161067831739
bigiron_AC8093,30.175629040990135
bigiron_AC8271,41.730331540467276
bigiron_AC8632,27.18236812209515
bigiron_AD0103,27.986063082133253
bigiron_AD2330,16.738407621377014
bigiron_AE0197,18.045696451971143
bigiron_AE2052,35.72685237475207
bigiron_AE4670,26.036201771125814
bigiron_AE4707,26.937174871197676
bigiron_AE6182,20.592952756146737
bigiron_AE6184,28.96902205318672
bigiron_AE6514,27.10556054851301
bigiron_AE6536,25.14900907317147
bigiron_AE7422,28.807161915496057
bigiron_AE8543,41.030120991725816
bigiron_AE8618,28.596359047272088
bigiron_AF0064,53.95168506036758
bigiron_AF1254,41.27392964002318
bigiron_AF1255,41.59746316220919
bigiron_AF1256,28.87641611948959
bigiron_AF1257,39.80089916027617
bigiron_AF1258,40.30317302508537
bigiron_AF1260,33.807059963495945
bigiron_AF1262,39.1402347129339
bigiron_AF1273,19.99894939946266
bigiron_AF1274,24.46055110689277
bigiron_AF1275,29.89924709363073
bigiron_AF1277,18.616630981307708
bigiron_AF1280,35.193054737573206
bigiron_AF1282,35.793197350822595
bigiron_AF1285,31.2531252446871
bigiron_AF1287,25.054951687693304
bigiron_AF1305,30.009687738837165
bigiron_AF1306,34.215143538671676
bigiron_AF1307,24.556216967646836
bigiron_AF1316,24.667121796059185
bigiron_AF1482,24.219804112847875
bigiron_AF1564,47.88992112407426
bigiron_AF2266,26.44987252158568
bigiron_AF4061,42.710324198087314
bigiron_AFO729,35.1642244081469
bigiron_AG0204,45.707263847824876
bigiron_AH0772,15.67138202258848
bigiron_AJ0207,52.980173054543116
bigiron_AJ0519,37.71267519011702
bigiron_AK0093,43.57809565075371
bigiron_AM0008,22.144116317044634
bigiron_AM3084,30.56094980008995
bigiron_AM3396,45.79836152126507
bigiron_AM5754,43.509749807517565
bigiron_AM5804,19.72147481550837
bigiron_AM7032,28.973042091881595
bigiron_AM7345,43.878565142899326
bigiron_AM7424,22.593572412001365
bigiron_AO0586,46.43549877362114
bigiron_AO0826,29.740509883082524
bigiron_AO0960,20.575798737941316
bigiron_AO0974,15.571388527600742
