,unique_id,winning_bid,hours_final,hours_final_nan,age_at_sale,age_at_sale_nan,bucket,bucket_bin,engine,tires,transmission,score
2459,PW_D8012,-0.4747009299256124,-0.09139047696731174,0,0.3333333333333333,0,"65"" x 35"" x 20"" bucket",1,New Holland turbo diesel engine,10-16.5 tires,,34.47004015257518
2795,PW_K5319,-0.6927197423427893,1.0769502399479842,0,0.6666666666666666,0,"74""W bucket",1,Four cylinder diesel engine,12-16.5 tires,Hydrostatic transmission,30.316426306119514
205,rbauction_10314658,-0.5135733665429933,-0.37691035084634406,0,0.3333333333333333,0,bkt,1,,,,54.03635615616918
2645,PW_F2099,0.13985958538880894,0.47072769813540183,0,-1.0,0,"Caterpillar 79""W bucket",1,"73 HP, Caterpillar 3044C 3.3L four cylinder turbo diesel engine",33/12-20 tires,Two speed hydrostatic transmission,39.13192208864962
1375,bigiron_AM5804,-0.06370243835102851,-0.048193022066026714,0,0.0,1,"6'7"" Low Pro Quick Attach Bucket. Maintenance Done On Routine Basis.",1,2.4L 4 Cylinder Kubota Turbo Engine,"12"" High Track",,19.72147481550837
1006,rbauction_10301011,-0.36878285015768775,-0.06841377980026397,0,0.0,0,bkt,1,,,,40.75072325991649
5320,rbauction_11221200,-0.5135733665429933,0.874069147530969,0,0.3333333333333333,0,bkt,1,,,,23.189309337304216
3449,bigiron_DC3075,-0.039848366104248356,0.30456689133285336,0,-0.6666666666666666,0,"74"" Multi-Purpose Bucket With Front Bolt On Cutting Edge",1,,,,36.30540905689588
2140,PW_4255,-0.7028923294870761,0.13190812178328817,0,-0.3333333333333333,0,"68"" bucket with seven weld on teeth and edge",1,Kubota V2203EB 46hp 2.2L engine,,,22.841016667442354
3988,rbauction_10222872,-0.9277695268422086,0.19802917807633738,0,0.0,1,,0,,cushion tires,,33.08731628465049
3353,PW_DG2843,-0.36878285015768775,-0.482171158427344,0,-0.6666666666666666,0,"67""W bucket",1,2.4L four cylinder diesel engine,10-16.5 tires,Hydrostatic transmission,18.47199170401001
1650,bigiron_CY2469,-0.24726775590351657,-0.445892162630138,0,0.0,0,"68"" Smooth Edge Quick Attach Bucket",1,Yanmar 52 HP Water Cooled Diesel Engine,10X16.5 Tires (Rt. Rear Tire Is Worn),,28.13863693500998
